20 hidden neurons, 0.1 learning rate
Format is as follows {epoch_num, accuracy_train, accuracy_test}
1, 82.54, 91.62
2, 82.93, 91.85
3, 83.08, 91.93
4, 83.17, 91.97
5, 83.24, 92.01
6, 83.28, 92.03
7, 83.32, 92.05
8, 83.35, 92.07
9, 83.37, 92.08
10, 83.39, 92.09
11, 83.40, 92.10
12, 83.41, 92.11
13, 83.42, 92.11
14, 83.43, 92.12
15, 83.44, 92.12
16, 83.44, 92.13
17, 83.45, 92.13
18, 83.45, 92.14
19, 83.46, 92.14
20, 83.46, 92.14
21, 83.46, 92.14
22, 83.46, 92.15
23, 83.47, 92.15
24, 83.47, 92.15
25, 83.47, 92.15
26, 83.47, 92.15
27, 83.47, 92.15
28, 83.47, 92.16
29, 83.48, 92.16
30, 83.48, 92.16
31, 83.48, 92.16
32, 83.48, 92.16
33, 83.48, 92.16
34, 83.48, 92.16
35, 83.48, 92.16
36, 83.48, 92.16
37, 83.48, 92.16
38, 83.48, 92.16
39, 83.48, 92.16
40, 83.48, 92.17
41, 83.48, 92.17
42, 83.48, 92.17
43, 83.48, 92.17
44, 83.49, 92.17
45, 83.49, 92.17
46, 83.49, 92.17
47, 83.49, 92.17
48, 83.49, 92.17
49, 83.49, 92.17
50, 83.49, 92.17
